Export;EXP-2024-001 (2024-08-26T08:19:22+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NOx;uur;µg NO2/m³;2024-06-07T11:00:00+01:00;2024-06-07T12:00:00+01:00;6.27;3.05;4.57;22.33;6.53;4.29;;14.82;24.38;36.22;8.97;3.31;3.99;3.53;11.35;3.48;21.99;16.13;7.32;8.95;11.45;34.93;19.68;25.99;29.85;6.47;24.57;7.61;9.99;23.53;30.69;39.5;8.4;9.03;4.54;6.1;24.35;6.34;;3.56;4.99;5.07;5.7;35.77;6.54
NOx;uur;µg NO2/m³;2024-06-07T12:00:00+01:00;2024-06-07T13:00:00+01:00;6.29;3.96;4.05;21.5;7.51;6.48;;13.16;23.44;33.52;10.06;13.96;4.54;4.13;8.65;12.27;7.89;16.28;7.23;8.67;10.49;28.19;16.08;21.12;22.6;5.57;20.29;7.77;9.63;24.66;26.74;32.95;8.99;11.56;4.04;6.25;25.64;6.07;;4.78;3.66;4.41;5.72;27.31;5.33
NOx;uur;µg NO2/m³;2024-06-07T13:00:00+01:00;2024-06-07T14:00:00+01:00;5.23;4.88;4.65;26.73;6.52;5.51;;13.05;26.9;46.26;7.83;7.85;3.35;5.21;5.27;7.48;6.87;16.12;4.32;10.15;4.58;27.05;9.02;12.27;13.61;4.21;20.55;7.52;5.2;23.55;27.94;29.04;9.83;12.15;3.35;11.39;27.33;6.95;;7.79;2.92;4.81;4.97;26.59;4.65
NOx;uur;µg NO2/m³;2024-06-07T14:00:00+01:00;2024-06-07T15:00:00+01:00;6.8;4.29;3.63;16.05;4.76;3.89;5.69;13.72;32.76;30.18;8.23;4.04;3.44;5.65;2.83;4.41;5.78;11.79;1.91;9.02;1.63;24.71;8.6;12.14;15.96;3.74;17.6;5.54;3.6;20.1;21.66;25.72;7.72;8.82;5.09;6.34;30.81;7.25;;5.78;2.53;5.7;4.69;24.38;5.19
NOx;uur;µg NO2/m³;2024-06-07T15:00:00+01:00;2024-06-07T16:00:00+01:00;7.42;4.52;3.31;19.59;3.81;6.26;4.14;15.99;27.72;28.1;6.11;3.97;3.09;7.28;1.72;3.89;10.89;11.21;1.18;6.44;2.32;22.21;7.81;13.9;20.84;4.38;28.35;2.63;3.34;14.79;19.03;27.19;4.26;8.08;8.04;26.11;36.87;10.02;;1.79;2.52;5.63;5.65;15.3;2.98
NOx;uur;µg NO2/m³;2024-06-07T16:00:00+01:00;2024-06-07T17:00:00+01:00;4.67;4.55;2.9;16.53;4.25;5.35;3.74;22.97;31.93;26.38;4.32;4.01;4.27;7.49;2.7;4.25;12.2;11.92;1.4;5.92;2.41;28.8;8.63;9.87;23.56;3.61;26.33;3.71;4.63;15.27;18.84;24.05;4.75;10.37;6.81;7.49;27.2;7.43;;2.04;3.09;5.14;3.18;10.09;3.68
NOx;uur;µg NO2/m³;2024-06-07T17:00:00+01:00;2024-06-07T18:00:00+01:00;7.17;4.93;3.85;14.29;3.91;4.71;3.72;16.85;21.53;17.02;3.52;4.91;4.85;6.47;1.73;4.76;5.26;9.61;1.29;5.09;4.83;21.9;7.47;9.11;25.34;3.65;22.08;3.46;4.49;15.36;16.52;25.72;5.11;8.78;5.87;5.19;26.61;9.02;;2.34;3.13;3.57;2.34;11.95;3.04
NOx;uur;µg NO2/m³;2024-06-07T18:00:00+01:00;2024-06-07T19:00:00+01:00;6.67;7.06;4.99;12.1;4.49;4.42;3.68;24.36;19.85;10.92;3.36;5.13;5.73;5.8;2.49;8.74;6.05;8.02;1.98;5.22;5.94;21.54;10.28;12.13;25.03;4.37;14.35;3.59;4.01;14.21;13.98;30.86;5.94;8.02;5.94;6.82;27.57;8.8;;2.37;2.78;2.96;2.33;11.93;3.32
NOx;uur;µg NO2/m³;2024-06-07T19:00:00+01:00;2024-06-07T20:00:00+01:00;6.15;7.34;3.64;11.25;6.21;3.82;5.89;26.36;20.53;11.92;3.43;5.06;5.69;5.93;6.96;6.04;10.75;11.84;3.28;6.92;5.98;27.11;18.4;11.62;34.03;78.43;14.09;4.27;2.83;14.6;16.02;35.28;6.11;8.14;6.94;11.78;25.81;8.44;;2.13;4.7;5.36;5.85;14.79;3.72
NOx;uur;µg NO2/m³;2024-06-07T20:00:00+01:00;2024-06-07T21:00:00+01:00;15.76;8.72;10.33;27.55;7.17;4.74;6.82;21.56;21.27;28.48;8.56;6.26;6.43;7.43;4.68;5.43;30.89;18.1;4.4;8.81;7.58;42.6;23.53;20.89;59.44;29.08;19.97;4.59;5.65;16.88;30.71;48.59;6.51;10.87;7.55;16.61;20.34;14.33;;2.47;10.03;9.28;9.99;35.96;3.82
NOx;uur;µg NO2/m³;2024-06-07T21:00:00+01:00;2024-06-07T22:00:00+01:00;15.21;7.58;8.22;46.6;18.67;12.44;9.22;16.83;28.67;44.99;24.13;12.57;7.05;10.12;7.32;5.92;32.39;31.25;11.43;9.88;6.38;38.67;34.68;36.89;60.75;13.89;20.93;8.19;12.37;34.65;57.53;44.83;10.69;13.23;9.18;11.35;40.3;16.28;;5.38;10.31;7.22;13.19;25.04;4.48
NOx;uur;µg NO2/m³;2024-06-07T22:00:00+01:00;2024-06-07T23:00:00+01:00;14.34;14.86;11.33;36;22.43;22.69;14.09;15.56;35.86;45.49;26.35;13.53;9.52;9.31;7.06;6.82;43.33;43.88;9.16;14.38;11.97;38.52;31.79;43.81;61.64;10.22;24.44;7.37;14.44;31.68;55.57;53.98;17.01;13.35;11.54;14.45;34.62;17.96;;9.17;10.33;11.83;11.06;25.75;7.64
NOx;uur;µg NO2/m³;2024-06-07T23:00:00+01:00;2024-06-08T00:00:00+01:00;13.97;11.44;11.03;28.53;18.59;31.4;18.05;20.44;72.17;80.22;27.51;18.64;24.41;13.81;7.49;10.06;36.39;52.94;7.28;13.91;16.21;42.41;40.95;36.34;64.47;9.46;29.06;11.68;14.59;21.58;53.42;59.73;16.59;16.95;10.11;15.17;39.84;18.07;;14.68;8.61;7.59;9.2;31.17;7.44
NOx;uur;µg NO2/m³;2024-06-08T00:00:00+01:00;2024-06-08T01:00:00+01:00;10.65;10.83;9.09;26.05;17.22;46.32;16.5;20.54;53.18;;19.66;30.83;27.13;15.21;10.94;5.89;36.81;36.45;7.08;18.69;16.29;45.72;36.49;40.17;50.94;15.04;;10.45;13.36;18.74;50.25;36.21;15.97;15.67;12.04;12.93;35.68;21.17;;11.87;7.97;10.88;8.97;24.36;7.57
NOx;uur;µg NO2/m³;2024-06-08T01:00:00+01:00;2024-06-08T02:00:00+01:00;9.13;13.49;6.72;32.54;11.96;32.9;14.96;27.4;29.72;22.29;20.58;23.49;24.58;19.03;11.55;5.6;33.25;30.2;9.38;15.99;10.58;34.67;25.16;29.76;41.83;16.28;21.79;11.51;14.58;14.1;24.37;38.12;9.47;10.85;12.16;9.76;26.12;14.66;;7.51;8.32;9.34;6.59;11.44;5.5
NOx;uur;µg NO2/m³;2024-06-08T02:00:00+01:00;2024-06-08T03:00:00+01:00;7.34;19.77;5.73;26.4;9.34;42.01;10.53;18.33;19.35;17.36;17.63;13.25;19.79;19.8;11.38;8.85;30.61;18.96;8.87;12.26;10.99;26.98;14.86;24.81;32.47;12.71;20.61;9.79;9.37;11.24;20.29;32.84;8.97;10.58;11.24;10.57;21.59;14.46;;7.31;8.44;7.61;5.63;11.48;5.04
NOx;uur;µg NO2/m³;2024-06-08T03:00:00+01:00;2024-06-08T04:00:00+01:00;8.1;20.75;6.47;19.95;9.23;50.48;12.13;13.88;20.12;18.74;15.62;14.09;19.8;20.48;9.74;8.16;28.1;11.84;8.51;13.91;14.24;31.51;15.29;30.37;36.7;12.2;23.71;9.14;8.08;14.48;18.69;25.01;11.39;10.16;11.14;12.39;23.78;18.14;;6.52;8.19;8.87;5.8;12.07;5.87
NOx;uur;µg NO2/m³;2024-06-08T04:00:00+01:00;2024-06-08T05:00:00+01:00;9.79;17.56;6.99;14.01;9.67;30.46;17.58;18.6;21.46;23.67;18.57;12.18;13.83;18.83;9.4;8.32;40.02;11.62;14.53;20.59;15.98;34.28;19.07;28.81;45.21;10.35;19.26;8.37;7.58;13.82;20.71;31.72;11.74;13.89;10.85;13.07;24.64;19.69;;7.66;8.56;10.76;5.69;11.62;7.34
NOx;uur;µg NO2/m³;2024-06-08T05:00:00+01:00;2024-06-08T06:00:00+01:00;11.03;20.26;8.04;12.85;8.58;16.3;18.63;18.1;23.48;30.65;21.34;12.06;15.92;19.03;12.6;9.57;38.23;18.67;13.28;20.99;20.98;37.58;19.7;26.86;48.28;13.77;16.7;7.6;10.3;23.55;29.22;30.27;18.07;15.56;10.46;14.6;23.21;18.91;;9.94;9.11;9.73;6.4;14.25;8.33
NOx;uur;µg NO2/m³;2024-06-08T06:00:00+01:00;2024-06-08T07:00:00+01:00;14.63;15.33;13.15;17.14;12.69;12.7;16.73;15.3;19.48;26.92;25.04;11.46;11.62;17.75;12.1;8.15;28.61;26.44;14.53;16.48;22.79;33.05;16.48;24.72;50.02;20.72;20.74;8.34;11.84;24.35;21.86;35.43;16.2;16.36;11.16;18.27;25.16;18.17;;10.25;11.38;8.81;8.8;19.15;8.94
NOx;uur;µg NO2/m³;2024-06-08T07:00:00+01:00;2024-06-08T08:00:00+01:00;15.09;9.06;12.81;16.69;12.33;12.11;12.75;10.16;15.74;31.53;17.11;9.25;8.15;7.98;11.07;7.72;28.94;26.94;10.85;14.52;23.26;29.15;17.88;29.25;51.79;30.44;25.86;9.36;13.91;21.25;21.98;27.73;12.29;10.56;11.86;15.93;18.92;12.57;;9.76;11.34;6.59;9.85;18.61;9.29
NOx;uur;µg NO2/m³;2024-06-08T08:00:00+01:00;2024-06-08T09:00:00+01:00;11.5;5.58;7.52;13.94;11.32;9.96;9.3;11.23;14.51;25.39;10.56;9.99;5.55;4.75;10.12;6.34;28.35;24.96;8.88;14.7;16.7;29.25;19.81;21.61;56.97;10.64;26.65;9.85;17.13;19.85;23.28;34.9;9.44;11.22;10.38;16.02;21;7.95;;10.27;14.43;7.26;10.72;20.18;9.26
NOx;uur;µg NO2/m³;2024-06-08T09:00:00+01:00;2024-06-08T10:00:00+01:00;4.42;3.42;4.19;8.21;3.97;7.66;8.47;8.57;15.26;23.94;9.41;11.03;6.02;5.22;8.28;5.32;15.99;21.08;9.66;12;4.69;38.96;17.14;24.59;54.6;10.48;19.55;9.09;15.2;22.8;27.13;33.91;9.01;9.89;6.04;16.18;14.16;4.71;;8.77;13.46;5.77;9.63;25.5;8.7
NOx;uur;µg NO2/m³;2024-06-08T10:00:00+01:00;2024-06-08T11:00:00+01:00;5.24;2.45;2.87;9.14;4.02;8.12;5.1;10.17;16.39;17.45;6.38;9.18;4.25;5.11;4.16;3.9;10.03;13.68;8.13;11.37;11.76;23.03;12.13;15.91;18.99;5.18;20.78;8.36;16.52;18.86;22.71;30.98;7.05;10.15;3.56;7.54;17.38;5.56;;7.23;12.96;4.06;8.09;28.55;7.12
NOx;uur;µg NO2/m³;2024-06-08T11:00:00+01:00;2024-06-08T12:00:00+01:00;5.62;2.35;2.47;8.63;3.84;6.97;7.01;11.58;18.85;23.14;7.02;5.22;3.67;7.39;4.23;3.42;10.7;8.36;2.01;7.52;3.57;25.3;10.34;8.45;21.7;30.52;16.93;6.9;6.14;16.22;19.99;24.22;5.49;8.52;2.31;5.97;22.88;6.87;;8.83;2.51;4.16;4.39;23.04;7.09
NOx;uur;µg NO2/m³;2024-06-08T12:00:00+01:00;2024-06-08T13:00:00+01:00;4.38;2.1;2.22;6.45;1.81;6.52;5.29;12.26;18.25;25.91;7.35;2.35;3.61;5.72;2.79;3.06;8.63;11.13;1.15;5.28;1.43;19.85;10.59;8.23;26.43;3.26;11.4;8.37;5.54;12.36;14.86;20.46;3.04;7.75;2.72;7.1;28.28;8.16;;11.52;1.08;4.96;1.58;22.03;8.11
NOx;uur;µg NO2/m³;2024-06-08T13:00:00+01:00;2024-06-08T14:00:00+01:00;4.36;2.93;3.62;8.85;2.1;7.75;3.98;14.03;20.77;18.89;5.09;5.18;3.16;5.1;4.61;2.29;6.74;8.43;0.66;3.66;1.33;22.49;7;7.73;15.65;3.55;11.26;1.72;4.26;8.96;13.69;20.46;1.78;3.98;4.31;5.96;29.38;7.14;;2.51;1.68;5.36;0.6;11.74;3.63
NOx;uur;µg NO2/m³;2024-06-08T14:00:00+01:00;2024-06-08T15:00:00+01:00;3.9;4.9;2.39;10.09;2.74;4.39;3.85;17.74;21.07;20.9;4.17;2.13;4.34;3.79;3.87;1.62;6.41;7.01;1.09;4.34;2.21;21.17;7.56;7.09;22.17;3.32;16.23;1.31;3.67;11.6;11.95;20.03;2.71;5.65;4.95;4.01;26.09;6.02;;1.26;1.34;5;0.59;13.91;4.51
NOx;uur;µg NO2/m³;2024-06-08T15:00:00+01:00;2024-06-08T16:00:00+01:00;3.37;5.01;3.47;12.15;2.36;3.41;2.44;16.27;19.72;18.74;4.57;2.38;5.72;2.81;1.66;0.71;6.34;8.97;0.83;3.98;2.79;23.03;6.8;7.16;17.66;2.82;12.31;2.1;2.7;10.73;10.86;19.02;1.22;5.24;4.49;3.8;22.73;5;;2.02;0.61;2.16;1.19;10;4.51
NOx;uur;µg NO2/m³;2024-06-08T16:00:00+01:00;2024-06-08T17:00:00+01:00;4.27;3.58;2.86;10.5;2.36;2.57;1.21;15.63;16.16;12.88;3.58;2;4.77;3.29;2.23;2.63;5.64;6.24;0.75;3.6;5.48;21.6;8.15;11.77;15.94;3.09;17.89;1.96;3.76;8.85;11.5;19.87;1.62;5.77;3.22;3.85;25.47;3.75;;1.24;0.13;2.79;1.37;17.39;5.51
NOx;uur;µg NO2/m³;2024-06-08T17:00:00+01:00;2024-06-08T18:00:00+01:00;4.72;2.33;3.89;11.36;3.19;3.16;0.99;12.46;14.22;8.18;2.2;1.89;3.01;3.05;3.39;2.18;6.24;6.94;1.39;4.19;2.93;23.84;7.51;9.92;9.67;2.55;6.09;2.43;2.98;11.31;10.49;20.38;2.06;6.35;3.04;3.31;18.47;4.61;;1.17;0.37;3.23;1.25;13.38;5.73
NOx;uur;µg NO2/m³;2024-06-08T18:00:00+01:00;2024-06-08T19:00:00+01:00;6.66;1.59;3.67;13.26;3.68;2.73;1.89;14.77;10.03;7.61;3.33;3.39;2.37;1.78;2.72;5.19;5.43;5.78;9.67;4.67;1.89;18.79;6.21;13.14;6.77;1.89;4.83;1.59;4.1;10.77;9.58;32.73;3.25;5.65;3.7;3.61;20.09;7.86;;1.95;-0.16;2.79;0.77;11.81;5.11
NOx;uur;µg NO2/m³;2024-06-08T19:00:00+01:00;2024-06-08T20:00:00+01:00;7.96;1.61;4.61;16.96;6.33;3.88;2.8;12.96;11.17;10.22;10.69;8.78;2.14;3.44;2.25;2.52;3.96;5.13;9.6;5.94;2;19.11;6.4;13.18;4.72;2.54;4.98;1.93;4.19;13.51;17.47;40.01;5.66;3.79;3.11;4.26;16.41;6.35;;1.58;0.62;1.94;0.74;12.24;3.75
NOx;uur;µg NO2/m³;2024-06-08T20:00:00+01:00;2024-06-08T21:00:00+01:00;5.72;2.28;4.98;15.94;6.91;4.6;2.48;11.44;10.27;10.39;10.05;9.42;4.22;4.34;1.63;6.24;4.87;6.87;9.14;5.46;0.84;21.19;8.91;23.6;4.92;3.13;9.65;2.42;3.5;17.05;12.99;32.42;9.4;4.4;2.42;3.14;14.47;5.14;;3.36;6.61;2.97;1.01;14.75;4.08
NOx;uur;µg NO2/m³;2024-06-08T21:00:00+01:00;2024-06-08T22:00:00+01:00;3.62;3.25;5.19;15.93;7.28;4.32;2.51;6.3;11.79;9.21;8.47;13.64;4.08;5.29;3.65;6.57;9.11;10.67;14.3;9.01;2.79;27.92;31.29;40.31;12.99;5.67;21.62;1.88;3.97;17.48;23.22;39.43;6.99;6.65;2.81;6.33;15.64;7.37;;2.1;0.94;4.17;1.34;12.08;4.33
NOx;uur;µg NO2/m³;2024-06-08T22:00:00+01:00;2024-06-08T23:00:00+01:00;3.96;5.01;8.54;12.56;5;5.1;3.46;8.46;12.26;21.99;12.14;16;3.86;5.45;3.74;6.96;16.6;22.02;13.46;23.4;4.23;47.87;54.21;49.4;69.86;13.42;37.87;2.21;4.73;24.8;46.9;49.86;11.11;11.84;3.35;6.37;21.32;8.67;;2.38;1.23;5.14;1.6;14.15;3.64
NOx;uur;µg NO2/m³;2024-06-08T23:00:00+01:00;2024-06-09T00:00:00+01:00;3.64;5.78;10.54;11.5;4.39;6.94;4.02;12.06;19.73;55.42;17.82;22.85;5.58;8.56;3.27;7.7;33.88;25.26;14.09;28.63;4.97;65.06;60.98;63.92;61.65;11.96;24.81;6.82;9.22;26.15;60.69;52.45;13.96;10.93;4.55;8.2;30.58;9.72;;3.06;3.11;4.23;2.7;28.38;3.63
NOx;uur;µg NO2/m³;2024-06-09T00:00:00+01:00;2024-06-09T01:00:00+01:00;5.63;11.49;5.02;8.93;5.34;21.33;6.38;12.32;23.44;41.23;30.62;29.87;6.56;12.96;3.09;12.96;55.39;59.64;12.97;23.81;6.48;80.16;66.03;47.4;61.82;8.03;18.78;5.53;7.87;34.27;26.21;38.2;23.27;11.34;6.09;10.09;32.74;14.55;;4.56;3.68;4.6;3.58;27.44;3.36
NOx;uur;µg NO2/m³;2024-06-09T01:00:00+01:00;2024-06-09T02:00:00+01:00;6.15;10.33;3.9;5.7;4.45;21.86;8.81;11.39;26.36;33.77;27.12;38.99;10.3;12.09;2.41;13.96;44.2;54.17;9.89;19.17;6.87;61.07;62.48;41.85;66.41;10.16;13.28;6.49;14.61;25.21;17.95;28.53;15.49;13.26;5.51;10.44;32.31;14.99;;3.03;3.85;4.37;4.66;31.99;4.19
NOx;uur;µg NO2/m³;2024-06-09T02:00:00+01:00;2024-06-09T03:00:00+01:00;6.38;18.03;4.57;6.2;4.67;20.9;9.17;10.86;26.57;18.47;18.72;18.02;13.25;15.14;6.55;15.11;58.86;54.61;5;13.15;5.37;66.12;52.15;57.62;61.02;9.54;12.48;8.46;15.93;21.88;11.68;30.63;12.29;15.36;4.26;10.19;24.99;14.47;;3.99;3.39;4.72;5.26;13.04;3.94
NOx;uur;µg NO2/m³;2024-06-09T03:00:00+01:00;2024-06-09T04:00:00+01:00;6.66;10.58;4.49;9.58;5.56;26.27;10.93;13.46;23.42;20.58;15.89;14.91;17.66;16.53;11.79;10.49;45.86;38.84;4.42;14.2;3.45;57.51;47.31;61.21;53.69;7.7;14.11;6.92;14.65;20.13;31.26;32.01;17.08;18.1;4.84;8.74;15.99;11.27;;5.56;3.25;4.89;5.71;14.81;4.12
NOx;uur;µg NO2/m³;2024-06-09T04:00:00+01:00;2024-06-09T05:00:00+01:00;6.7;11.21;4.3;9.08;4.81;31.27;9.53;17.36;24.89;18.63;15.02;16.38;15.58;14.39;17.09;8.93;13.1;31.3;8.3;12.83;3.33;40.01;33.48;61.64;32.08;8.7;9.26;9.92;22.27;14.12;25.6;35.8;8.98;10.67;5.54;7.87;13.48;10.93;;4.78;3.09;4.36;5.56;11.81;3.88
NOx;uur;µg NO2/m³;2024-06-09T05:00:00+01:00;2024-06-09T06:00:00+01:00;9.21;14.21;4.52;7.71;4.5;28.99;12.38;16.22;18.83;19.14;15.98;24.33;14.19;15.3;8.22;8.49;6.09;27.85;13.22;14.59;2.55;10;16.87;44.03;7.31;6.18;6.63;15.57;21.82;12.92;19.92;35.36;8.12;6.46;6.68;10.32;14.21;11.48;;6.42;3.7;6.94;4.94;7.36;3.49
NOx;uur;µg NO2/m³;2024-06-09T06:00:00+01:00;2024-06-09T07:00:00+01:00;;17.1;4.42;15.78;;36.24;13.76;;;17.62;;18.18;12.97;;4.08;8.74;4.98;10.07;11.11;14.11;4.55;10;6.09;13.97;7.21;;7.48;17.79;14.34;;;29.07;12.09;15.64;;10.8;14.86;12.66;;13.48;3.94;5.29;4.09;14.85;4.25
NOx;uur;µg NO2/m³;2024-06-09T07:00:00+01:00;2024-06-09T08:00:00+01:00;7.75;10.96;7.06;8.69;7.55;27.61;5.31;17.48;19.74;17.93;13.66;5.16;11.56;20.1;3.18;5.79;3.83;13.83;3.73;15.38;3.91;9.63;5.02;22.14;5.06;3.71;6.29;11.56;6.17;13.38;13.25;17.55;8.6;12.49;;10.55;16.07;11.82;;12.36;2.38;6.26;3.33;8.43;3.76
NOx;uur;µg NO2/m³;2024-06-09T08:00:00+01:00;2024-06-09T09:00:00+01:00;6.29;7.76;7.56;9.79;5.91;12.45;3.8;13.67;15.37;11.7;4.42;2.47;8.81;14.14;2.59;3.1;8.13;14.7;0.72;3.71;2.44;11.83;6.87;9.44;10.16;4.05;7.34;5.82;1.99;7.12;7.08;13.58;2.83;6.03;9.65;7.6;17.41;12.36;;5.15;2.46;5.94;2.05;4.2;1.91
NOx;uur;µg NO2/m³;2024-06-09T09:00:00+01:00;2024-06-09T10:00:00+01:00;4.37;7.54;3.68;10.97;5.11;4.08;2.66;12.73;14.44;12.77;2.93;2.11;6.76;5.81;2.24;1.98;3.71;8.62;0.78;2.84;2.57;8.16;5.21;9.47;8.8;3.41;13.41;2.64;2.88;8.53;8.08;15.21;1.93;8.62;5.86;4.34;17.82;8.64;;1.48;4.36;4.19;1.54;5.16;1.44
NOx;uur;µg NO2/m³;2024-06-09T10:00:00+01:00;2024-06-09T11:00:00+01:00;3.94;6.06;2.17;12.13;2.64;2.29;1.56;10.02;12.95;13.93;2.85;1.48;5.45;2.4;0.81;1.94;3.6;9.36;0.41;3.12;1.33;10.68;3.76;7.04;9.04;3.92;16.17;1.45;1.9;9.02;8.85;17.84;2.44;4.31;10.22;2.14;15.06;6.01;;1.33;8.11;2.08;1.92;6.27;1.31
NOx;uur;µg NO2/m³;2024-06-09T11:00:00+01:00;2024-06-09T12:00:00+01:00;3.68;3.86;2.16;8.53;2.56;2.27;0.42;7.51;10.49;11.81;2.94;0.71;2.81;3.13;2.48;1.77;3.98;4.84;0;3.12;1.95;17.25;4.92;7.09;8.72;3.73;13.33;1.49;1.21;7.18;11.75;18.14;1.24;3.07;5.69;1.93;14.83;4.3;;1.57;2.38;1.7;2.24;7.72;1.91
NOx;uur;µg NO2/m³;2024-06-09T12:00:00+01:00;2024-06-09T13:00:00+01:00;4.4;2.12;2.6;10.7;2.24;1.81;0.17;10.21;10.88;9.39;2.2;1.64;2.28;2.27;1.09;2.56;2.65;4.42;0.85;3.41;1.34;13.38;4.92;7.54;8.02;3.29;10.53;1.82;1.28;8.05;10.91;17.79;1.42;5.12;6.4;1.37;17.26;3.87;;2.68;2.4;1.79;2.23;8.07;3.81
NOx;uur;µg NO2/m³;2024-06-09T13:00:00+01:00;2024-06-09T14:00:00+01:00;4.26;2.21;2.5;9.21;2.59;1.62;0.38;9.17;13.4;13.73;2.72;6.18;2.25;1.9;1.27;1.46;2.71;5.68;0.38;4.72;0.94;16.99;4.62;6.76;6.25;3.07;10.9;1.85;1.03;9.96;7.7;17.68;1.55;3.29;5.22;1.34;21.35;5.98;;1.7;1.56;2;1.97;8.03;2.84
NOx;uur;µg NO2/m³;2024-06-09T14:00:00+01:00;2024-06-09T15:00:00+01:00;5.41;1.76;3.09;12.93;2.56;2.07;0.25;9.96;10.54;9.01;2.22;1.21;1.71;2.29;1.25;2.05;2.38;5.11;-0.2;3.97;0.95;14.18;4.62;13.5;5.85;2.77;10.43;2.28;1.25;8.86;8.74;19.16;1.52;3.05;3.57;1.97;22.04;5.56;;1.04;3.55;2.74;2.36;7.88;3.8
NOx;uur;µg NO2/m³;2024-06-09T15:00:00+01:00;2024-06-09T16:00:00+01:00;4.44;1.99;3.2;12.63;3.57;2.6;0.81;12.94;10.34;11.5;2.32;1.26;1.74;3.59;0.91;1.54;2.57;5.33;-0.47;9.69;1.24;16.79;3.33;12.05;7.97;2.46;11.55;3.18;0.91;7.73;9.51;19.22;1.16;2.08;3.24;1.3;17.75;5.41;;1.13;1.99;2.2;2.07;11.54;4.92
NOx;uur;µg NO2/m³;2024-06-09T16:00:00+01:00;2024-06-09T17:00:00+01:00;3.06;1.7;3.24;11.55;3.67;2.53;0.16;11.86;12.27;12.74;2.29;1.28;1.9;4.85;0.6;2.96;4.13;5.77;-0.11;10.12;1.17;17.35;5.17;12.27;9.22;3.12;11.5;2;1.1;7.84;9.41;21.73;1.23;2.37;4.46;1.29;19.49;5.35;;1.49;0.99;2.09;1.86;9.78;3.86
NOx;uur;µg NO2/m³;2024-06-09T17:00:00+01:00;2024-06-09T18:00:00+01:00;3.02;2.01;3.12;12.75;3.55;2.95;-0.2;12.28;10.05;6.52;1.81;2.3;1.71;5.04;0.82;2.9;4.04;7.66;-0.01;6.66;0.94;19.07;5.74;10.82;7.13;3.17;9.85;2.18;1.28;8.82;8.6;20.25;1.27;2.53;4.77;2.19;25.61;4.42;;1.4;1.72;1.93;1.62;10.62;4.44
NOx;uur;µg NO2/m³;2024-06-09T18:00:00+01:00;2024-06-09T19:00:00+01:00;3.36;3.52;3.56;14.13;4.27;2.42;-0.01;12.82;11.05;10.58;2.71;1.93;2.42;3.53;1.69;3.27;3.36;9.7;0.48;4.62;1.69;18.74;6.07;12.36;7.5;3.17;12.92;3.53;2.12;9.14;8;28.12;1.63;4.15;6.56;2.27;17.75;4.63;;1.29;2.7;1.77;1.42;9.67;3.57
NOx;uur;µg NO2/m³;2024-06-09T19:00:00+01:00;2024-06-09T20:00:00+01:00;3.61;3.24;3.78;14.53;3.96;5.1;0.5;9.36;13.3;8.76;3.11;1.88;3.66;5.62;1.4;6.43;4.8;8.63;1.16;6.31;2.5;22.66;7.74;14.23;11.86;3.09;11.69;2.99;2.84;9.93;15.14;31.77;2.53;7.2;5.64;2.73;14.99;5.36;;1.65;5.13;2.76;1.96;6.58;3.08
NOx;uur;µg NO2/m³;2024-06-09T20:00:00+01:00;2024-06-09T21:00:00+01:00;3.82;7.41;3.19;12.58;4.59;5.57;2.29;14.93;19.85;18.87;4.57;2.8;4.09;12.7;1.9;5.14;6.92;12.5;1.89;5.64;2.06;16.66;7.6;13.01;10.98;4.59;11.88;3.62;5.03;11.38;12.4;35.8;3.23;7.98;5.31;2.44;17.45;7.6;;2.32;7.42;2.43;1.79;7.16;3.45
NOx;uur;µg NO2/m³;2024-06-09T21:00:00+01:00;2024-06-09T22:00:00+01:00;6.44;11.92;3.81;13.96;5.36;8.04;4.65;11.84;26.18;23.08;7.06;4.59;4.08;11.96;1.17;5.34;5.67;15.56;2.23;7.47;2.81;20.26;9.25;12.64;10.13;3.51;11.81;2.8;3.83;12.06;17.86;35.04;4.94;6.9;6.52;3.35;32.18;11.51;;1.9;2.78;3.35;1.84;11.57;3.77
NOx;uur;µg NO2/m³;2024-06-09T22:00:00+01:00;2024-06-09T23:00:00+01:00;8.49;18.07;5.76;22.77;9.83;13.15;5.59;13.21;25.54;16.04;7.02;7.43;6.36;8.35;2.55;7.11;6.45;13.18;1.86;7.36;2.89;15.44;8.09;10.58;8.41;3.32;10.82;4.44;4.66;13.48;16.01;37.61;7.69;7.1;7.51;3.61;19.93;10.2;;3.05;2.73;3.95;1.99;14.98;3.9
